Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
411,411,0,0,7126128,26072599
412,412,0,0,7126128,26072599
413,413,0,0,7271678,27204569
414,414,0,0,7271678,27204569
415,415,0,0,7271678,27204569
416,416,0,0,7414317,27204569
417,417,0,0,7414317,27204569
418,418,0,1,6290108,27204569
419,419,0,0,6290108,27204569
420,420,0,0,6290108,27204569
421,421,0,0,6406412,27204569
422,422,0,0,6406412,27204569
423,423,0,0,6406412,26099321
424,424,0,0,6522716,26099321
425,425,0,0,6522716,26099321
426,426,0,0,6639020,26099321
427,427,0,0,6639020,26099321
428,428,0,1,5000500,26099321
429,429,0,0,5086275,26099321
430,430,0,0,5086275,26099321
431,431,0,0,5086275,26099321
432,432,0,0,5172050,26099321
433,433,0,0,5172050,22847781
434,434,0,0,5256000,22847781
435,435,0,0,5256000,22847781
436,436,0,0,5256000,22847781
437,437,0,0,5339950,22847781
438,438,0,1,3505348,22847781
439,439,0,0,3505348,22847781
440,440,0,0,3559258,22847781
441,441,0,0,3559258,22847781
442,442,0,0,3613168,22847781
443,443,0,0,3613168,17717376
444,444,0,0,3613168,17717376
445,445,0,0,3665880,17717376
446,446,0,0,3665880,17717376
447,447,0,0,3665880,17717376
448,448,0,1,2051744,17717376
449,449,0,0,2051744,17717376
450,450,0,0,2051744,17717376
451,451,0,0,2080167,17717376
452,452,0,0,2080167,17717376
453,453,0,0,2107929,11130035
454,454,0,0,2107929,11130035
455,455,0,0,2107929,11130035
456,456,0,0,2135030,11130035
457,457,0,0,2135030,11130035
458,458,0,1,771970,11130035
459,459,0,0,781769,11130035
460,460,0,0,781769,11130035
461,461,0,0,791329,11130035
462,462,0,0,791329,11130035
463,463,0,0,791329,3627486
464,464,0,0,800889,3627486
465,465,0,0,800889,3627486
466,466,0,0,800889,3627486
467,467,0,0,809971,3627486
468,468,0,1,183006,3627486
469,469,0,0,185058,3627486
470,470,0,0,185058,3627486
471,471,0,0,185058,3627486
472,472,0,0,187056,3627486
473,473,0,0,187056,-4173291
474,474,0,0,187056,-4173291
475,475,0,0,189000,-4173291
476,476,0,0,189000,-4173291
477,477,0,0,190890,-4173291
478,478,0,1,254520,-4173291
479,479,0,0,254520,-4173291
480,480,0,0,256968,-4173291
481,481,0,0,256968,-4173291
482,482,0,0,256968,-4173291
483,483,0,0,259344,-11630803
484,484,0,0,259344,-11630803
485,485,0,0,259344,-11630803
486,486,0,0,261720,-11630803
487,487,0,0,261720,-11630803
488,488,0,1,1118130,-11630803
489,489,0,0,1118130,-11630803
490,490,0,0,1118130,-11630803
491,491,0,0,1127585,-11630803
492,492,0,0,1127585,-11630803
493,493,0,0,1127585,-18131797
494,494,0,0,1136430,-18131797
495,495,0,0,1136430,-18131797
496,496,0,0,1144970,-18131797
497,497,0,0,1144970,-18131797
498,498,0,1,2826762,-18131797
